PhraseId	SentenceId	Phrase	Sentiment
128 	67 	"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic"	1 
129 	67 	"A smart , provocative drama that does the nearly impossible :"	1 
130 	67 	"A smart , provocative drama that does the nearly impossible"	1 
131 	67 	"smart , provocative drama"	1 
132 	67 	provocative drama	1 
133 	67 	does the nearly impossible	1 
131 	67 	impossible	0 
135 	70 	very funny	1 
136 	72 	has made a movie that will leave you wondering about the characters ' lives after the clever credits roll	1 
137 	72 	made a movie that will leave you wondering about the characters ' lives after the clever credits roll	1 
138 	72 	you wondering about the characters ' lives after the clever credits roll	1 
139 	72 	clever	1 
110 	78 	goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .	0 
111 	79 	This is a heartfelt story	1 
112 	79 	heartfelt story	1 
113 	80 	"An unsettling , memorable cinematic experience that does its predecessors proud ."	1 
111 	80 	"An unsettling , memorable cinematic experience that"	1 
115 	80 	", memorable cinematic experience"	1 
116 	80 	does its predecessors proud	1 
117 	80 	proud	1 
118 	81 	it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .	1 
119 	81 	a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	1 
150 	81 	pretty	1 
151 	81 	of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	1 
152 	81 	a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own	1 
153 	81 	"Inventive , fun"	1 
151 	81 	sexy	1 
155 	85 	"Tells a fascinating , compelling story ."	1 
156 	85 	"a fascinating , compelling story"	1 
157 	85 	"fascinating , compelling story"	1 
158 	86 	"directed , barely ,"	0 
159 	87 	"Highly recommended viewing for its courage , ideas , technical proficiency and great acting ."	1 
160 	87 	"recommended viewing for its courage , ideas , technical proficiency and great acting"	1 
161 	87 	recommended	1 
162 	87 	"for its courage , ideas , technical proficiency and great acting"	1 
163 	87 	"its courage , ideas , technical proficiency and great acting"	1 
161 	87 	great acting	1 
165 	87 	great	1 
166 	88 	"In IMAX in short , it 's just as wonderful on the big screen ."	1 
167 	88 	's just as wonderful on the big screen .	1 
168 	88 	as wonderful on the big screen	1 
169 	88 	wonderful on the big screen	1 
170 	91 	's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another	0 
171 	91 	lazy for a movie	0 
172 	92 	enjoy	1 
173 	93 	"of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel"	0 
171 	93 	pleasure	1 
175 	93 	Disney scrape the bottom of its own cracker barrel	0 
176 	95 	Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .	0 
177 	95 	Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres	0 
178 	95 	Scarcely worth a mention	0 
179 	95 	Scarcely worth	0 
180 	95 	apart from reporting on the number of tumbleweeds blowing through the empty theatres	0 
181 	95 	on the number of tumbleweeds blowing through the empty theatres	0 
182 	95 	of tumbleweeds blowing through the empty theatres	0 
183 	95 	tumbleweeds blowing through the empty theatres	0 
181 	96 	"Invigorating , surreal , and resonant with a rainbow of emotion ."	1 
185 	96 	"Invigorating , surreal , and resonant with a rainbow of emotion"	1 
186 	96 	"Invigorating , surreal , and resonant with a rainbow"	1 
187 	97 	"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ."	0 
188 	97 	"Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ."	0 
189 	97 	"'' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ."	0 
190 	97 	"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ."	0 
191 	97 	"of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original"	0 
192 	97 	"those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original"	0 
193 	97 	"those crass , contrived sequels"	0 
191 	97 	"crass , contrived sequels"	0 
195 	97 	"that not only fails on its own , but makes you second-guess your affection for the original"	0 
196 	97 	"fails on its own , but makes you second-guess your affection for the original"	0 
197 	97 	fails	0 
198 	99 	's not a particularly good film	0 
199 	99 	a particularly good film	1 
200 	99 	particularly good film	1 
201 	99 	particularly good	1 
202 	101 	"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike ."	0 
203 	101 	"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike"	0 
201 	102 	surprisingly ` solid ' achievement	1 
205 	107 	"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise ."	1 
206 	107 	"'s most thoughtful films about art , ethics , and the cost of moral compromise ."	1 
207 	107 	"'s most thoughtful films about art , ethics , and the cost of moral compromise"	1 
208 	107 	thoughtful	1 
209 	108 	is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .	0 
210 	108 	is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys	0 
211 	109 	Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .	1 
212 	109 	triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .	1 
213 	109 	returns to narrative filmmaking with a visually masterful work of quiet power .	1 
211 	109 	returns to narrative filmmaking with a visually masterful work of quiet power	1 
215 	109 	narrative filmmaking with a visually masterful work of quiet power	1 
216 	109 	filmmaking with a visually masterful work of quiet power	1 
217 	109 	with a visually masterful work of quiet power	1 
218 	109 	a visually masterful work of quiet power	1 
219 	109 	a visually masterful work	1 
220 	109 	visually masterful work	1 
221 	109 	visually masterful	1 
222 	109 	masterful	1 
223 	110 	A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being	0 
221 	110 	Masterpiece	1 
225 	111 	"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny"	0 
226 	111 	do n't like	0 
227 	111 	"another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny"	0 
228 	111 	is impossible to care about and is n't very funny	0 
229 	112 	then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .	0 
230 	113 	The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .	0 
231 	113 	this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
232 	113 	to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
233 	113 	-- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
231 	113 	as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
235 	113 	the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
236 	113 	is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
237 	113 	trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
238 	113 	to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
239 	113 	dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product	0 
210 	113 	simply because the movie is ugly to look at and not a Hollywood product	0 
211 	113 	the movie is ugly to look at and not a Hollywood product	0 
212 	113 	ugly to look at and not a Hollywood product	0 
213 	111 	bogged down in earnest dramaturgy	0 
211 	111 	a stirring visual sequence	1 
215 	111 	a leap from pinnacle to pinnacle	1 
216 	117 	delivers a perfect performance that captures the innocence and budding demons within a wallflower .	1 
217 	117 	delivers a perfect performance that captures the innocence and budding demons within a wallflower	1 
218 	117 	a perfect performance that captures the innocence and budding demons within a wallflower	1 
219 	117 	a perfect performance	1 
250 	117 	perfect performance	1 
251 	117 	perfect	1 
252 	118 	"300 years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness ."	1 
253 	118 	"an evanescent , seamless and sumptuous stream of consciousness"	1 
251 	119 	"The filmmakers want nothing else than to show us a good time , and"	1 
255 	119 	cheap	0 
256 	120 	Mr. Polanski is in his element here :	1 
257 	120 	is in his element	1 
258 	121 	"`` Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff ."	1 
259 	121 	"Spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff ."	1 
260 	121 	"is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff ."	1 
261 	121 	"is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff"	1 
262 	121 	is better than any summer blockbuster	1 
263 	121 	better than any summer blockbuster	1 
261 	121 	"hopefully , sets the tone for a summer of good stuff"	1 
265 	123 	"Violent , vulgar and forgettably"	0 
266 	123 	vulgar	0 
267 	121 	prove more potent and riveting than the unlikely story of Sarah and Harrison	1 
268 	121 	potent and riveting	1 
269 	121 	riveting	1 
270 	125 	"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars"	1 
271 	125 	honest	1 
272 	125 	"pat storylines , precious circumstances and beautiful stars"	1 
273 	125 	beautiful	1 
271 	126 	"it 's still a sweet , even delectable diversion ."	1 
275 	126 	"'s still a sweet , even delectable diversion"	1 
276 	126 	"sweet , even delectable"	1 
277 	126 	delectable	1 
278 	127 	"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause ."	1 
279 	127 	"A thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause"	1 
280 	127 	thoughtful and surprisingly affecting	1 
281 	127 	powerful	1 
282 	129 	brilliant	1 
283 	129 	at the expense of those who paid for it and those who pay to see it	0 
281 	130 	"A triumph , a film that hews out a world and carries us effortlessly from darkness to light ."	1 
285 	130 	"A triumph , a film that hews out a world and carries us effortlessly from darkness to light"	1 
286 	130 	A triumph	1 
287 	130 	a film that hews out a world and carries us effortlessly from darkness to light	1 
288 	132 	"A fascinating , dark thriller that keeps you"	1 
289 	131 	It 's hard to say who might enjoy this	0 
290 	131 	hard to say who might enjoy this	0 
291 	136 	One of the year 's most weirdly engaging and unpredictable character pieces .	1 
292 	137 	Intriguing and downright intoxicating .	1 
293 	137 	Intriguing and downright intoxicating	1 
291 	137 	downright intoxicating	1 
295 	138 	fresh	1 
296 	139 	"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension ."	0 
297 	139 	"The movie is silly beyond comprehension , and"	0 
298 	110 	Sleek and arty	1 
299 	111 	"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action ."	0 
300 	111 	"Poor editing , bad bluescreen , and ultra-cheesy dialogue"	0 
301 	111 	"Poor editing , bad bluescreen , and"	0 
302 	111 	"Poor editing , bad bluescreen"	0 
303 	111 	bad bluescreen	0 
301 	112 	's face is -RRB- an amazing slapstick instrument	1 
305 	112 	an amazing slapstick	1 
306 	112 	amazing slapstick	1 
307 	112 	amazing	1 
308 	113 	completely misses its emotions	0 
309 	117 	"When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game ."	1 
310 	117 	gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game	1 
311 	150 	"failing , ultimately ,"	0 
312 	150 	"failing , ultimately"	0 
313 	151 	Spielberg 's realization of a near-future America is masterful .	1 
311 	151 	is masterful .	1 
315 	151 	is masterful	1 
316 	152 	"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."	0 
317 	152 	"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces"	0 
318 	152 	There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up	0 
319 	155 	stale and uninspired .	0 
320 	155 	and uninspired .	0 
321 	155 	uninspired .	0 
322 	156 	", the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ."	1 
323 	156 	"the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ."	1 
321 	156 	"the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes"	1 
325 	156 	"also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes"	1 
326 	156 	"an example of the kind of lush , all-enveloping movie experience"	1 
327 	156 	"the kind of lush , all-enveloping movie experience"	1 
328 	156 	"lush , all-enveloping movie experience"	1 
329 	156 	all-enveloping movie experience	1 
330 	159 	", it wears out its welcome as tryingly as the title character ."	0 
331 	160 	"An uncluttered , resonant gem"	1 
332 	160 	resonant gem	1 
333 	161 	could force you to scratch a hole in your head .	0 
331 	161 	could force you to scratch a hole in your head	0 
335 	161 	you to scratch a hole in your head	0 
336 	162 	perfectly entertaining summer diversion	1 
337 	162 	perfectly	1 
338 	161 	makes this rather convoluted journey worth taking	1 
339 	161 	convoluted	0 
310 	165 	", Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience ."	1 
311 	165 	"is a brilliantly played , deeply unsettling experience"	1 
312 	165 	"a brilliantly played , deeply unsettling experience"	1 
313 	165 	brilliantly played	1 
311 	165 	brilliantly	1 
315 	166 	violence	0 
316 	167 	"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents ."	0 
317 	168 	A well-made but emotionally scattered film whose hero gives his heart only to the dog	1 
318 	168 	A well-made	1 
319 	168 	well-made	1 
350 	170 	gets the tone just right	1 
351 	170 	just right	1 
352 	171 	Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .	0 
353 	171 	unfocused	0 
351 	172 	dull	0 
355 	171 	Charming and funny -LRB- but ultimately silly -RRB- movie	1 
356 	171 	Charming	1 
357 	176 	"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."	0 
358 	176 	"spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."	0 
359 	176 	of the pool with an utterly incompetent conclusion	0 
360 	176 	the pool with an utterly incompetent conclusion	0 
361 	176 	with an utterly incompetent conclusion	0 
362 	176 	an utterly incompetent conclusion	0 
363 	176 	utterly incompetent conclusion	0 
361 	176 	utterly incompetent	0 
365 	177 	is a children 's film in the truest sense	1 
366 	178 	Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .	0 
367 	178 	filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .	0 
368 	178 	filmmaking that is plainly dull and visually ugly when it is n't incomprehensible	0 
369 	178 	is plainly dull and visually ugly when it is n't incomprehensible	0 
370 	178 	plainly dull and visually ugly	0 
371 	179 	"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ."	1 
372 	179 	Beautifully	1 
373 	179 	"crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ."	1 
371 	179 	"engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"	1 
375 	179 	"filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"	1 
376 	179 	"should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"	1 
377 	179 	"quality and a nostalgic , twisty yarn that will keep them guessing"	1 
378 	180 	An awkwardly contrived exercise in magic realism	0 
379 	182 	the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama	1 
380 	182 	with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama	1 
381 	182 	spirituality that are powerful and moving without stooping to base melodrama	1 
382 	182 	are powerful and moving without stooping to base melodrama	1 
383 	182 	powerful and moving	1 
381 	183 	Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun	1 
385 	183 	the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun	1 
386 	183 	of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun	1 
387 	183 	that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun	1 
388 	183 	Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun	1 
389 	183 	so much fun	1 
390 	181 	"aims to be funny , uplifting and moving , sometimes all at once ."	1 
391 	181 	"funny , uplifting and moving"	1 
392 	181 	", uplifting and moving"	1 
393 	181 	uplifting and moving	1 
391 	187 	's a great deal of corny dialogue and preposterous moments	0 
395 	187 	of corny dialogue and preposterous moments	0 
396 	187 	corny dialogue and preposterous moments	0 
397 	187 	preposterous	0 
398 	190 	The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .	0 
399 	190 	is capped with pointless extremes	0 
100 	190 	capped with pointless extremes	0 
101 	190 	with pointless extremes	0 
102 	190 	pointless	0 
103 	191 	you wo n't be disappointed	1 
101 	191 	be disappointed	0 
105 	192 	never plays as dramatic even when dramatic things happen to people .	0 
106 	191 	generates plot points with a degree of randomness usually achieved only by lottery drawing .	0 
107 	196 	can depress you about life itself	0 
108 	196 	depress you	0 
109 	198 	humor	1 
110 	198 	smug self-satisfaction	0 
111 	199 	This is a superior horror flick .	1 
112 	199 	is a superior horror flick .	1 
113 	199 	is a superior horror flick	1 
111 	199 	superior horror flick	1 
115 	200 	pomposity and pretentiousness	0 
116 	202 	is well told	1 
117 	201 	More sophisticated and literate than such pictures usually are ...	1 
118 	201 	literate	1 
119 	206 	Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .	1 
120 	206 	emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .	1 
121 	206 	emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds	1 
122 	206 	the well-wrought story	1 
123 	206 	well-wrought story	1 
121 	207 	It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .	1 
125 	207 	's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .	1 
126 	207 	's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor	1 
127 	207 	a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor	1 
128 	207 	from a renowned Indian film culture that allows Americans to finally revel in its splendor	1 
129 	207 	its splendor	1 
130 	208 	Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances	1 
131 	208 	Well-done supernatural thriller	1 
132 	210 	"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound ."	0 
133 	210 	"depressing , ruthlessly pained and depraved"	0 
131 	210 	depressing	0 
135 	210 	depraved	0 
136 	210 	the movie equivalent of staring into an open wound	0 
137 	213 	When it 's this rich and luscious	1 
138 	215 	instead opts for a routine slasher film that was probably more fun to make than it is to sit through .	0 
139 	215 	a routine slasher film that was probably more fun to make than it is to sit through	0 
110 	216 	"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement ."	0 
111 	217 	"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but"	0 
112 	217 	"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place ,"	0 
113 	217 	A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place	0 
111 	217 	A superfluous sequel	0 
115 	217 	superfluous sequel	0 
116 	217 	by that old familiar feeling of ` let 's get this thing over with '	0 
117 	217 	of ` let 's get this thing over with	0 
118 	218 	terrific	1 
119 	219 	a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds	0 
150 	219 	romantic-comedy duds	0 
151 	223 	Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .	0 
152 	223 	like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .	0 
153 	223 	a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story	0 
151 	223 	an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story	0 
155 	223 	an overripe episode of TV 's Dawson 's Creek	0 
156 	223 	a recycled and dumbed-down version of Love Story	0 
157 	223 	a recycled and dumbed-down version	0 
